"기업규모별","산업분류별","항목","단위","2018 년","2017 년","2016 년","2015 년","2014 년","2013 년","2012 년","2011 년","2010 년","2009 년","2008 년",
"전규모(상용근로자 10인 이상)","전체","노동비용총액[천원]","천원","5195.5","5023.4","4934.2","4781.7","4669.6","4549.8","4487.3","4328.5","4021.5","3866","3845.6",
"전규모(상용근로자 10인 이상)","전체","직접노동비용(계)[천원]","천원","4146.6","3994.9","3937.9","3786.1","3661.6","3585","3475.9","3331.6","3165.5","3013.8","3003",
"전규모(상용근로자 10인 이상)","전체","정액 및 초과급여[천원]","천원","3383.3","3237.2","3174.8","3059.1","2940.6","2833.1","2736.9","2611.3","2461.1","2341","2331.9",
"전규모(상용근로자 10인 이상)","전체","상여금 및 성과금[천원]","천원","763.3","757.7","763.1","727","721","751.9","739","720.4","704.4","672.8","671.1",
"전규모(상용근로자 10인 이상)","전체","간접노동비용(계)[천원]","천원","1048.9","1028.5","996.3","995.5","1007.9","964.8","1011.4","996.8","856","852.1","842.6",
"전규모(상용근로자 10인 이상)","전체","퇴직급여 등의 비용[천원]","천원","442.3","448.8","441.6","438.5","457.2","412.7","470.7","480.3","383.3","370.8","360.4",
"전규모(상용근로자 10인 이상)","전체","현물지급비용[천원]","천원","","","","-","-","-","4","4.2","2.7","3.1","3.1",
"전규모(상용근로자 10인 이상)","전체","법정노동비용[천원]","천원","359.1","340.1","330.6","319","313.4","308.4","296.8","280.1","266.7","259.1","255.5",
"전규모(상용근로자 10인 이상)","전체","법정외 복지비용[천원]","천원","219.4","211.3","197.9","209.6","207.7","212.2","201.8","195.5","169.3","185.1","184.8",
"전규모(상용근로자 10인 이상)","전체","채용관련비용(모집비)[천원]","천원","5.3","5.4","5.1","4.6","5","5.3","4.9","4.3","4.7","3.3","3.2",
"전규모(상용근로자 10인 이상)","전체","교육훈련비용[천원]","천원","22.8","22.8","21.1","23.8","24.7","26.1","27.7","27.2","24.5","24.9","29",
"전규모(상용근로자 10인 이상)","전체","기타노동비용[천원]","천원","","","","-","-","-","5.6","5.2","4.8","5.8","6.6",
"전규모(상용근로자 10인 이상)","B. 광업(05~08)","노동비용총액[천원]","천원","5506.4","5444.1","5191.1","4818.5","4687.7","4760.9","4579.4","4299.1","3645.6","3442","3499.7",
"전규모(상용근로자 10인 이상)","B. 광업(05~08)","직접노동비용(계)[천원]","천원","4399.9","4123.4","3936.4","3610.1","3513.5","3530.3","3395.5","3209.2","2831.5","2629.7","2674.7",
"전규모(상용근로자 10인 이상)","B. 광업(05~08)","정액 및 초과급여[천원]","천원","3875.5","3640.5","3361.6","3076.5","2960.1","2939","2866.1","2703.4","2509.4","2348.7","2365.3",
"전규모(상용근로자 10인 이상)","B. 광업(05~08)","상여금 및 성과금[천원]","천원","524.4","482.8","574.9","533.6","553.4","591.3","529.3","505.9","322.1","281","309.4",
"전규모(상용근로자 10인 이상)","B. 광업(05~08)","간접노동비용(계)[천원]","천원","1106.5","1320.7","1254.7","1208.3","1174.2","1230.6","1183.9","1089.9","814","812.4","825",
"전규모(상용근로자 10인 이상)","B. 광업(05~08)","퇴직급여 등의 비용[천원]","천원","361.7","455.1","410.6","428","367.8","419.4","387.5","363.4","235.5","236.3","232.3",
"전규모(상용근로자 10인 이상)","B. 광업(05~08)","현물지급비용[천원]","천원","","","","-","-","-","4.3","2.3",".8",".6",".7",
"전규모(상용근로자 10인 이상)","B. 광업(05~08)","법정노동비용[천원]","천원","504","599.9","610.2","575.3","585.1","585.2","590.6","504.7","406.6","384.7","397.4",
"전규모(상용근로자 10인 이상)","B. 광업(05~08)","법정외 복지비용[천원]","천원","238.6","261.5","230.9","202.6","219.1","223","198.1","216.8","168.8","189.1","192.2",
"전규모(상용근로자 10인 이상)","B. 광업(05~08)","채용관련비용(모집비)[천원]","천원",".3",".2",".4",".1",".3",".3",".3",".2",".1",".3",".4",
"전규모(상용근로자 10인 이상)","B. 광업(05~08)","교육훈련비용[천원]","천원","1.8","4","2.5","2.3","1.9","2.7","1.3","1","1",".6","1.1",
"전규모(상용근로자 10인 이상)","B. 광업(05~08)","기타노동비용[천원]","천원","","","","-","-","-","1.8","1.5","1.3",".8",".9",
"전규모(상용근로자 10인 이상)","석탄,원유및천연가스광업","노동비용총액[천원]","천원","7182.1","7565.4","7545.7","7902.3","7380.1","7421.9","7115.6","6304.1","4835.7","4924.5","5022.3",
"전규모(상용근로자 10인 이상)","석탄,원유및천연가스광업","직접노동비용(계)[천원]","천원","5609.6","5121.3","5129.8","5015.8","4843.1","4806.8","4351.6","4096.7","3396.1","3240","3095.9",
"전규모(상용근로자 10인 이상)","석탄,원유및천연가스광업","정액 및 초과급여[천원]","천원","3774.8","3365.3","3354.8","3374","3275.7","3261","2925.3","2655.3","2721.8","2563.2","2301.9",
"전규모(상용근로자 10인 이상)","석탄,원유및천연가스광업","상여금 및 성과금[천원]","천원","1834.8","1756","1775","1641.7","1567.4","1545.7","1426.3","1441.4","674.3","676.8","794",
"전규모(상용근로자 10인 이상)","석탄,원유및천연가스광업","간접노동비용(계)[천원]","천원","1572.5","2444","2415.9","2886.5","2537","2615.1","2764","2207.4","1439.6","1684.5","1926.4",
"전규모(상용근로자 10인 이상)","석탄,원유및천연가스광업","퇴직급여 등의 비용[천원]","천원","834.3","879.3","843.9","901.4","732.6","859","860.2","536.8","217.8","196","225.4",
"전규모(상용근로자 10인 이상)","석탄,원유및천연가스광업","현물지급비용[천원]","천원","","","","-","-","-","6.8","3.4","3.2","3","5.1",
"전규모(상용근로자 10인 이상)","석탄,원유및천연가스광업","법정노동비용[천원]","천원","620.4","1400.9","1411.2","1857.4","1584.7","1572.9","1719","1410.2","1136.2","1377.7","1636.7",
"전규모(상용근로자 10인 이상)","석탄,원유및천연가스광업","법정외 복지비용[천원]","천원","117.1","162.3","159.4","126","215.4","178.7","175","253.6","78.9","104","47.9",
"전규모(상용근로자 10인 이상)","석탄,원유및천연가스광업","채용관련비용(모집비)[천원]","천원",".2",".3",".3",".4","1.3","0","0",".6","0",".4","2.9",
"전규모(상용근로자 10인 이상)","석탄,원유및천연가스광업","교육훈련비용[천원]","천원",".3","1.2","1.2","1.3","3.1","4.6","1.9","1.7","1.9","0",".3",
"전규모(상용근로자 10인 이상)","석탄,원유및천연가스광업","기타노동비용[천원]","천원","","","","-","-","-","1.1","1.1","1.5","3.4","8.2",
"전규모(상용근로자 10인 이상)","금속광업","노동비용총액[천원]","천원","4689.6","4578.3","3978.1","4389.4","4712.7","4722.3","4692.6","4542.1","3202.4","3141.1","3497.5",
"전규모(상용근로자 10인 이상)","금속광업","직접노동비용(계)[천원]","천원","3624.6","3828.6","3311.4","3317","3622","3564.6","3546.1","3259","2484.5","2285","2472.4",
"전규모(상용근로자 10인 이상)","금속광업","정액 및 초과급여[천원]","천원","3436.6","3699.2","3139.7","3074.1","3180.3","3141","3104.4","2672.1","2241.5","2054.2","2217.9",
"전규모(상용근로자 10인 이상)","금속광업","상여금 및 성과금[천원]","천원","188","129.5","171.7","242.8","441.7","423.6","441.6","587","243","230.8","254.5",
"전규모(상용근로자 10인 이상)","금속광업","간접노동비용(계)[천원]","천원","1065","749.7","666.7","1072.5","1090.7","1157.7","1146.6","1283.1","717.9","856.1","1025.1",
"전규모(상용근로자 10인 이상)","금속광업","퇴직급여 등의 비용[천원]","천원","360","100.2","168.1","413.8","374.5","267.6","234.8","385.7","206.9","189.2","191.7",
"전규모(상용근로자 10인 이상)","금속광업","현물지급비용[천원]","천원","","","","-","-","-","0","0","0","0","0",
"전규모(상용근로자 10인 이상)","금속광업","법정노동비용[천원]","천원","516.4","453.4","386.4","471","503.7","659.2","733.4","751.7","405.8","543","635.2",
"전규모(상용근로자 10인 이상)","금속광업","법정외 복지비용[천원]","천원","186","195.8","112.1","187.6","212.3","230.7","178","145.7","105.2","123.9","198.2",
"전규모(상용근로자 10인 이상)","금속광업","채용관련비용(모집비)[천원]","천원","0","0","0","0","-","0","0","0","0","0","0",
"전규모(상용근로자 10인 이상)","금속광업","교육훈련비용[천원]","천원","2.5",".3",".1",".1",".2",".2",".3","0","0","0","0",
"전규모(상용근로자 10인 이상)","금속광업","기타노동비용[천원]","천원","","","","-","-","-","0","0","0","0","0",
"전규모(상용근로자 10인 이상)","비금속광물광업;연료용제외","노동비용총액[천원]","천원","5294.3","5148.4","4795.6","4425.1","4247.4","4343.3","4094.9","3935.5","3445.6","3341.1","3408.7",
"전규모(상용근로자 10인 이상)","비금속광물광업;연료용제외","직접노동비용(계)[천원]","천원","4252.4","3979.8","3736.2","3433.3","3293","3326.8","3210.7","3049.6","2738.5","2591.1","2652.1",
"전규모(상용근로자 10인 이상)","비금속광물광업;연료용제외","정액 및 초과급여[천원]","천원","3903.1","3681.1","3368.8","3037.6","2901.5","2876.1","2850.3","2712.7","2476.2","2337.5","2371",
"전규모(상용근로자 10인 이상)","비금속광물광업;연료용제외","상여금 및 성과금[천원]","천원","349.3","298.7","367.5","395.7","391.5","450.7","360.5","336.9","262.3","253.7","281.1",
"전규모(상용근로자 10인 이상)","비금속광물광업;연료용제외","간접노동비용(계)[천원]","천원","1041.9","1168.6","1059.3","991.8","954.3","1016.4","884.2","885.9","707.1","750","756.7",
"전규모(상용근로자 10인 이상)","비금속광물광업;연료용제외","퇴직급여 등의 비용[천원]","천원","295","403.3","338.4","366.3","308","359.1","300.6","331.9","238.9","239.8","233.2",
"전규모(상용근로자 10인 이상)","비금속광물광업;연료용제외","현물지급비용[천원]","천원","","","","-","-","-","3.9","2.1",".4",".4",".4",
"전규모(상용근로자 10인 이상)","비금속광물광업;연료용제외","법정노동비용[천원]","천원","487.2","481","470.6","409.8","424.5","424.9","373.2","337.3","280.5","312.1","320.3",
"전규모(상용근로자 10인 이상)","비금속광물광업;연료용제외","법정외 복지비용[천원]","천원","257.4","279.5","247.1","213.1","220","229.5","202.9","211.8","185.1","196.1","200.8",
