"기업규모별","산업분류","항목","단위","2024 년","2023 년","2022 년","2021 년","2020 년","2019 년",
"전규모(상용근로자 10인 이상)","석탄, 원유 및 천연가스 광업","노동비용총액[천원]","천원","10058.4","9176","8588.1","9699","8308.4","7391.2",
"전규모(상용근로자 10인 이상)","석탄, 원유 및 천연가스 광업","직접노동비용(계)[천원]","천원","7155.5","6468.8","6386.2","6178.6","5963.1","5698.1",
"전규모(상용근로자 10인 이상)","석탄, 원유 및 천연가스 광업","정액 및 초과급여[천원]","천원","4802.1","4359.4","4186.2","4181.3","4037.8","3833",
"전규모(상용근로자 10인 이상)","석탄, 원유 및 천연가스 광업","상여금 및 성과금[천원]","천원","2353.4","2109.4","2200","1997.3","1925.2","1865",
"전규모(상용근로자 10인 이상)","석탄, 원유 및 천연가스 광업","간접노동비용(계)[천원]","천원","2902.9","2707.1","2201.9","3520.4","2345.4","1693.2",
"전규모(상용근로자 10인 이상)","석탄, 원유 및 천연가스 광업","퇴직급여 등의 비용[천원]","천원","1777.2","1603.7","1311.1","2657","1519.4","951.6",
"전규모(상용근로자 10인 이상)","석탄, 원유 및 천연가스 광업","법정노동비용[천원]","천원","867.8","840.2","734.6","726.5","723","642.5",
"전규모(상용근로자 10인 이상)","석탄, 원유 및 천연가스 광업","법정외 복지비용[천원]","천원","253.1","258.1","149.7","131.9","100.1","91.7",
"전규모(상용근로자 10인 이상)","석탄, 원유 및 천연가스 광업","채용관련비용(모집비)[천원]","천원",".6",".8",".9",".3","0","0",
"전규모(상용근로자 10인 이상)","석탄, 원유 및 천연가스 광업","교육훈련비용[천원]","천원","4.2","4.4","5.5","4.7","2.9","7.4",
"전규모(상용근로자 10인 이상)","금속 광업","노동비용총액[천원]","천원","6665.8","5777.3","5784.1","5680.1","5465","4927.2",
"전규모(상용근로자 10인 이상)","금속 광업","직접노동비용(계)[천원]","천원","5406.1","4590.2","4633.8","4384.2","4316.3","3905.1",
"전규모(상용근로자 10인 이상)","금속 광업","정액 및 초과급여[천원]","천원","5130.4","4405","4339.8","3992.4","4014.9","3626.2",
"전규모(상용근로자 10인 이상)","금속 광업","상여금 및 성과금[천원]","천원","275.6","185.2","294","391.8","301.4","278.9",
"전규모(상용근로자 10인 이상)","금속 광업","간접노동비용(계)[천원]","천원","1259.7","1187.2","1150.3","1295.9","1148.7","1022.1",
"전규모(상용근로자 10인 이상)","금속 광업","퇴직급여 등의 비용[천원]","천원","387.7","302.6","501.3","593.6","401.7","338",
"전규모(상용근로자 10인 이상)","금속 광업","법정노동비용[천원]","천원","645.4","635.2","478.7","464.4","486.4","450.1",
"전규모(상용근로자 10인 이상)","금속 광업","법정외 복지비용[천원]","천원","222.5","242.8","158.6","235.5","247.6","232.4",
"전규모(상용근로자 10인 이상)","금속 광업","채용관련비용(모집비)[천원]","천원",".9","2.5","7.3",".5","11.7",".2",
"전규모(상용근로자 10인 이상)","금속 광업","교육훈련비용[천원]","천원","3.2","4.1","4.5","2","1.3","1.4",
"전규모(상용근로자 10인 이상)","비금속광물 광업; 연료용 제외","노동비용총액[천원]","천원","6124","5945.8","5528.2","5757.3","5593.9","5399.8",
"전규모(상용근로자 10인 이상)","비금속광물 광업; 연료용 제외","직접노동비용(계)[천원]","천원","4881.2","4746","4495.9","4537.1","4497.3","4374.1",
"전규모(상용근로자 10인 이상)","비금속광물 광업; 연료용 제외","정액 및 초과급여[천원]","천원","4523.1","4498.4","4284.6","4216.6","4232.8","4121.5",
"전규모(상용근로자 10인 이상)","비금속광물 광업; 연료용 제외","상여금 및 성과금[천원]","천원","358.1","247.6","211.3","320.4","264.4","252.6",
"전규모(상용근로자 10인 이상)","비금속광물 광업; 연료용 제외","간접노동비용(계)[천원]","천원","1242.8","1199.8","1032.3","1220.3","1096.6","1025.7",
