"규모별","산업별","항목","단위","1997 년","1996 년","1995 년","1994 년",
"전규모(30인이상)","전산업","노동비용총액[천원]","천원","2082.2","1870.5","1726.7","1501.9",
"전규모(30인이상)","전산업","현금급여총계[천원]","천원","1542.9","1456","1294.9","1132.3",
"전규모(30인이상)","전산업","정액및초과[천원]","천원","1137.9","1077.7","970.9","852.6",
"전규모(30인이상)","전산업","상여금등특별급여[천원]","천원","405","378.3","324","279.7",
"전규모(30인이상)","전산업","현금급여외 노동비용(계)[천원]","천원","539.3","414.5","431.8","369.6",
"전규모(30인이상)","전산업","퇴직금등비용[천원]","천원","228.6","137.7","203.9","145.6",
"전규모(30인이상)","전산업","현물지급비용[천원]","천원","5.3","4.2","1.1","5.7",
"전규모(30인이상)","전산업","법정복리비[천원]","천원","98.1","81","64.7","55.1",
"전규모(30인이상)","전산업","법정외복리비[천원]","천원","154","139.5","120.8","126.4",
"전규모(30인이상)","전산업","모집비[천원]","천원","2","2.8","3.5","3.1",
"전규모(30인이상)","전산업","교육훈련비[천원]","천원","39.5","39","25.7","25.1",
"전규모(30인이상)","전산업","기타노동비용[천원]","천원","11.7","10.5","12.1","8.5",
"전규모(30인이상)","광 업(10-14)","노동비용총액[천원]","천원","2756.9","2291.2","1981.1","1755.5",
"전규모(30인이상)","광 업(10-14)","현금급여총계[천원]","천원","1645.1","1417.1","1250.4","1124.4",
"전규모(30인이상)","광 업(10-14)","정액및초과[천원]","천원","1221.2","1103.5","1000.3","897.3",
"전규모(30인이상)","광 업(10-14)","상여금등특별급여[천원]","천원","423.9","313.6","250.1","227.1",
"전규모(30인이상)","광 업(10-14)","현금급여외 노동비용(계)[천원]","천원","1111.9","874.1","730.7","631.1",
"전규모(30인이상)","광 업(10-14)","퇴직금등비용[천원]","천원","463.5","266.6","324.4","186.9",
"전규모(30인이상)","광 업(10-14)","현물지급비용[천원]","천원","3","7.9",".9","10.6",
"전규모(30인이상)","광 업(10-14)","법정복리비[천원]","천원","464.2","464.3","320.9","363",
"전규모(30인이상)","광 업(10-14)","법정외복리비[천원]","천원","162.4","119.3","70.2","62.4",
"전규모(30인이상)","광 업(10-14)","모집비[천원]","천원","1.4","3.6",".8",".6",
"전규모(30인이상)","광 업(10-14)","교육훈련비[천원]","천원","11.8","9","7","5.4",
"전규모(30인이상)","광 업(10-14)","기타노동비용[천원]","천원","5.6","3.3","6.5","2.2",
"전규모(30인이상)","석탄광업","노동비용총액[천원]","천원","2943.6","2408.1","2084.9","1726.5",
"전규모(30인이상)","석탄광업","현금급여총계[천원]","천원","1708.8","1443.2","1247.3","1117.3",
"전규모(30인이상)","석탄광업","정액및초과[천원]","천원","1179.6","1079.4","974.2","877.4",
"전규모(30인이상)","석탄광업","상여금등특별급여[천원]","천원","529.2","363.8","273.1","239.9",
"전규모(30인이상)","석탄광업","현금급여외 노동비용(계)[천원]","천원","1234.8","964.8","837.6","609.2",
"전규모(30인이상)","석탄광업","퇴직금등비용[천원]","천원","495","305.6","372.2","132",
"전규모(30인이상)","석탄광업","현물지급비용[천원]","천원","3.8","9.4",".9","11.8",
"전규모(30인이상)","석탄광업","법정복리비[천원]","천원","543","526.2","392.2","392",
"전규모(30인이상)","석탄광업","법정외복리비[천원]","천원","171.9","106.4","56.9","66.9",
"전규모(30인이상)","석탄광업","모집비[천원]","천원","1.7","4.3",".9",".7",
"전규모(30인이상)","석탄광업","교육훈련비[천원]","천원","14.1","9.7","6.6","3.5",
"전규모(30인이상)","석탄광업","기타노동비용[천원]","천원","5.3","3.2","7.9","2.3",
"전규모(30인이상)","금속 광업","노동비용총액[천원]","천원","1551.6","1184.1","1090.7","993.3",
"전규모(30인이상)","금속 광업","현금급여총계[천원]","천원","1110","1092.5","960.6","869.5",
"전규모(30인이상)","금속 광업","정액및초과[천원]","천원","941.8","922.1","816","756.6",
"전규모(30인이상)","금속 광업","상여금등특별급여[천원]","천원","168.2","170.3","144.6","112.9",
"전규모(30인이상)","금속 광업","현금급여외 노동비용(계)[천원]","천원","441.6","91.6","130.1","123.8",
"전규모(30인이상)","금속 광업","퇴직금등비용[천원]","천원","132.2","57","0","11.6",
"전규모(30인이상)","금속 광업","현물지급비용[천원]","천원","0","0","0","0",
"전규모(30인이상)","금속 광업","법정복리비[천원]","천원","205.9","34.5","130.1","112.2",
"전규모(30인이상)","금속 광업","법정외복리비[천원]","천원","93.2","0","0","0",
"전규모(30인이상)","금속 광업","모집비[천원]","천원",".8","0","0","0",
"전규모(30인이상)","금속 광업","교육훈련비[천원]","천원","2.1","0","0","0",
"전규모(30인이상)","금속 광업","기타노동비용[천원]","천원","7.5","0","0","0",
"전규모(30인이상)","기타 광업 및 채석업","노동비용총액[천원]","천원","2307.4","1819.1","1705.2","1891.8",
"전규모(30인이상)","기타 광업 및 채석업","현금급여총계[천원]","천원","1560.4","1389.7","1304.3","1222.2",
"전규모(30인이상)","기타 광업 및 채석업","정액및초과[천원]","천원","1335.1","1172.1","1110","997.1",
"전규모(30인이상)","기타 광업 및 채석업","상여금등특별급여[천원]","천원","225.3","217.6","194.3","225.1",
"전규모(30인이상)","기타 광업 및 채석업","현금급여외 노동비용(계)[천원]","천원","747","429.4","400.9","669.6",
"전규모(30인이상)","기타 광업 및 채석업","퇴직금등비용[천원]","천원","444.3","70","178.4","256.7",
"전규모(30인이상)","기타 광업 및 채석업","현물지급비용[천원]","천원","0","0",".8","9.5",
"전규모(30인이상)","기타 광업 및 채석업","법정복리비[천원]","천원","150.4","156.9","96.6","334.5",
"전규모(30인이상)","기타 광업 및 채석업","법정외복리비[천원]","천원","142.5","192.4","114.3","58.6",
"전규모(30인이상)","기타 광업 및 채석업","모집비[천원]","천원",".1",".3",".2",".4",
"전규모(30인이상)","기타 광업 및 채석업","교육훈련비[천원]","천원","3.4","5.8","8.2","7.7",
"전규모(30인이상)","기타 광업 및 채석업","기타노동비용[천원]","천원","6.3","4","2.4","2.1",
"전규모(30인이상)","제 조 업(15-37)","노동비용총액[천원]","천원","1891.7","1684.1","1503.9","1374.7",
"전규모(30인이상)","제 조 업(15-37)","현금급여총계[천원]","천원","1402.6","1317.9","1166","1058",
"전규모(30인이상)","제 조 업(15-37)","정액및초과[천원]","천원","1055.4","981.8","883.2","797.6",
"전규모(30인이상)","제 조 업(15-37)","상여금등특별급여[천원]","천원","347.3","336.1","282.8","260.4",
"전규모(30인이상)","제 조 업(15-37)","현금급여외 노동비용(계)[천원]","천원","489.1","366.2","337.9","316.6",
"전규모(30인이상)","제 조 업(15-37)","퇴직금등비용[천원]","천원","215.4","128.6","141.9","128.3",
"전규모(30인이상)","제 조 업(15-37)","현물지급비용[천원]","천원","6.5","5.1","1.9","4.4",
"전규모(30인이상)","제 조 업(15-37)","법정복리비[천원]","천원","88.4","70","58.2","48.9",
"전규모(30인이상)","제 조 업(15-37)","법정외복리비[천원]","천원","135.7","120.4","97.9","99.4",
"전규모(30인이상)","제 조 업(15-37)","모집비[천원]","천원","1.7","2.9","3","3.4",
"전규모(30인이상)","제 조 업(15-37)","교육훈련비[천원]","천원","31","30.5","27.7","26.4",
"전규모(30인이상)","제 조 업(15-37)","기타노동비용[천원]","천원","10.3","8.6","7.3","5.8",
"전규모(30인이상)","음식료품 제조업","노동비용총액[천원]","천원","1758.7","1478.6","1280.7","1177.1",
"전규모(30인이상)","음식료품 제조업","현금급여총계[천원]","천원","1197.8","1122.3","1025.9","931.8",
"전규모(30인이상)","음식료품 제조업","정액및초과[천원]","천원","928.4","871.1","808.2","734.9",
"전규모(30인이상)","음식료품 제조업","상여금등특별급여[천원]","천원","269.4","251.2","217.7","196.9",
"전규모(30인이상)","음식료품 제조업","현금급여외 노동비용(계)[천원]","천원","560.9","356.3","254.8","245.3",
"전규모(30인이상)","음식료품 제조업","퇴직금등비용[천원]","천원","344.6","192","122.6","108.7",
"전규모(30인이상)","음식료품 제조업","현물지급비용[천원]","천원","2.9","3.6","1.2","5.3",
"전규모(30인이상)","음식료품 제조업","법정복리비[천원]","천원","61.6","52.2","41.5","37.8",
"전규모(30인이상)","음식료품 제조업","법정외복리비[천원]","천원","118.8","83.1","69.1","71.8",
"전규모(30인이상)","음식료품 제조업","모집비[천원]","천원","1.9","3.9","2.3","2",
"전규모(30인이상)","음식료품 제조업","교육훈련비[천원]","천원","22.2","17.6","13.1","14.4",
"전규모(30인이상)","음식료품 제조업","기타노동비용[천원]","천원","9","3.7","5","5.3",
"전규모(30인이상)","담배제조업","노동비용총액[천원]","천원","3283.4","2597.9","2208.1","1994.8",
"전규모(30인이상)","담배제조업","현금급여총계[천원]","천원","2525.5","2305.1","2004.9","1860.7",
"전규모(30인이상)","담배제조업","정액및초과[천원]","천원","1666.6","1529","1392.6","1223.8",
"전규모(30인이상)","담배제조업","상여금등특별급여[천원]","천원","858.9","776.1","612.3","636.9",
"전규모(30인이상)","담배제조업","현금급여외 노동비용(계)[천원]","천원","757.9","292.9","203.2","134.1",
"전규모(30인이상)","담배제조업","퇴직금등비용[천원]","천원","335","140.5","76.6","52.6",
"전규모(30인이상)","담배제조업","현물지급비용[천원]","천원","0","0","0","0",
"전규모(30인이상)","담배제조업","법정복리비[천원]","천원","98.1","46.5","36","25.9",
"전규모(30인이상)","담배제조업","법정외복리비[천원]","천원","276.8","98.4","84.9","50.4",
"전규모(30인이상)","담배제조업","모집비[천원]","천원","1.7","0","0","0",
"전규모(30인이상)","담배제조업","교육훈련비[천원]","천원","40.5","1.9","1.4","1.1",
"전규모(30인이상)","담배제조업","기타노동비용[천원]","천원","5.9","5.7","4.3","4",
"전규모(30인이상)","섬유제품 제조업","노동비용총액[천원]","천원","1432.8","1357.3","1192.1","1394.1",
"전규모(30인이상)","섬유제품 제조업","현금급여총계[천원]","천원","1098.1","1025.6","923.4","893.1",
"전규모(30인이상)","섬유제품 제조업","정액및초과[천원]","천원","935.3","856.5","772.8","705.3",
"전규모(30인이상)","섬유제품 제조업","상여금등특별급여[천원]","천원","162.8","169.1","150.6","187.8",
"전규모(30인이상)","섬유제품 제조업","현금급여외 노동비용(계)[천원]","천원","334.8","331.8","268.7","501",
"전규모(30인이상)","섬유제품 제조업","퇴직금등비용[천원]","천원","156.9","170.3","130.2","370.7",
"전규모(30인이상)","섬유제품 제조업","현물지급비용[천원]","천원",".1","1.5","1","5.8",
"전규모(30인이상)","섬유제품 제조업","법정복리비[천원]","천원","69.7","51.5","43.5","38",
"전규모(30인이상)","섬유제품 제조업","법정외복리비[천원]","천원","90.7","86.9","70.1","56.1",
"전규모(30인이상)","섬유제품 제조업","모집비[천원]","천원","1.2","2.6","1.6","10.6",
"전규모(30인이상)","섬유제품 제조업","교육훈련비[천원]","천원","13.9","16.3","18.7","16.9",
"전규모(30인이상)","섬유제품 제조업","기타노동비용[천원]","천원","2.2","2.7","3.6","2.7",
"전규모(30인이상)","의복 및 모피제품 제조업","노동비용총액[천원]","천원","1175.9","1081.2","941.8","849.1",
"전규모(30인이상)","의복 및 모피제품 제조업","현금급여총계[천원]","천원","897","866.4","745.8","671.6",
"전규모(30인이상)","의복 및 모피제품 제조업","정액및초과[천원]","천원","801.7","754.8","657.4","583.2",
"전규모(30인이상)","의복 및 모피제품 제조업","상여금등특별급여[천원]","천원","95.3","111.6","88.4","88.5",
"전규모(30인이상)","의복 및 모피제품 제조업","현금급여외 노동비용(계)[천원]","천원","278.9","214.8","196","177.5",
"전규모(30인이상)","의복 및 모피제품 제조업","퇴직금등비용[천원]","천원","156.8","114.9","101.1","85.1",
"전규모(30인이상)","의복 및 모피제품 제조업","현물지급비용[천원]","천원","1",".3",".7","1.1",
"전규모(30인이상)","의복 및 모피제품 제조업","법정복리비[천원]","천원","52","39.3","30.3","27",
"전규모(30인이상)","의복 및 모피제품 제조업","법정외복리비[천원]","천원","55.7","48.8","55.5","57.9",
"전규모(30인이상)","의복 및 모피제품 제조업","모집비[천원]","천원",".8","1.1","1.3",".9",
"전규모(30인이상)","의복 및 모피제품 제조업","교육훈련비[천원]","천원","10.4","4.6","4","4",
"전규모(30인이상)","의복 및 모피제품 제조업","기타노동비용[천원]","천원","2.1","5.8","3.1","1.6",
"전규모(30인이상)","가죽, 가방 및 신발 제조업","노동비용총액[천원]","천원","1131.1","1037.4","915","816.3",
"전규모(30인이상)","가죽, 가방 및 신발 제조업","현금급여총계[천원]","천원","928.9","857.3","752.9","686.7",
"전규모(30인이상)","가죽, 가방 및 신발 제조업","정액및초과[천원]","천원","805","740.4","654.3","587.7",
"전규모(30인이상)","가죽, 가방 및 신발 제조업","상여금등특별급여[천원]","천원","123.9","116.9","98.6","99",
"전규모(30인이상)","가죽, 가방 및 신발 제조업","현금급여외 노동비용(계)[천원]","천원","202.2","180.1","162.1","129.6",
"전규모(30인이상)","가죽, 가방 및 신발 제조업","퇴직금등비용[천원]","천원","103.3","75.7","80.5","52.1",
