"규모별","산업별","항목","단위","2003 년","2002 년","2001 년","2000 년","1999 년","1998 년",
"전규모(10인이상)","전산업","노동비용총액[천원]","천원","3206","2827.57111","2661.10679","2777.33279","2370.76527","2324.7",
"전규모(10인이상)","전산업","현금급여총계[천원]","천원","2293.3","2053.45705","1840.42244","1740.69132","1550.01203","1409.4",
"전규모(10인이상)","전산업","정액및초과[천원]","천원","1756.9","1579.73582","1425.15107","1349.55655","1217.32804","1139",
"전규모(10인이상)","전산업","상여금등특별급여[천원]","천원","536.5","473.72123","415.27137","391.13477","332.68399","270.4",
"전규모(10인이상)","전산업","현금급여외 노동비용(계)[천원]","천원","912.6","774.11406","820.68435","1036.64147","820.75324","915.3",
"전규모(10인이상)","전산업","퇴직금등비용[천원]","천원","378.5","291.12171","384.73223","628.64807","435.97554","612.7",
"전규모(10인이상)","전산업","현물지급비용[천원]","천원","3.4","3.2937","1.88347","3.94733","4.69324","2.4",
"전규모(10인이상)","전산업","법정복리비[천원]","천원","242.8","220.47794","209.17506","182.1948","163.01807","121.3",
"전규모(10인이상)","전산업","법정외복리비[천원]","천원","227.3","197.29472","173.69213","168.68862","173.52039","140.8",
"전규모(10인이상)","전산업","모집비[천원]","천원","3.1","2.7431","3.08927","3.04285","2.48588","1.2",
"전규모(10인이상)","전산업","교육훈련비[천원]","천원","46.9","48.33792","40.57889","40.003","33.11226","28.6",
"전규모(10인이상)","전산업","기타노동비용[천원]","천원","10.5","10.84498","7.5333","10.1168","7.94786","8.4",
"전규모(10인이상)","광 업(10-14)","노동비용총액[천원]","천원","3708.9","3167.8602","3467.91959","3867.02345","2522.3677","3097.1",
"전규모(10인이상)","광 업(10-14)","현금급여총계[천원]","천원","2298.5","1992.48831","1778.31639","1696.16984","1560.32943","1513.5",
"전규모(10인이상)","광 업(10-14)","정액및초과[천원]","천원","1755.1","1580.22021","1440.3507","1362.38104","1285.88301","1264.7",
"전규모(10인이상)","광 업(10-14)","상여금등특별급여[천원]","천원","543.4","412.2681","337.96569","333.78879","274.44642","248.8",
"전규모(10인이상)","광 업(10-14)","현금급여외 노동비용(계)[천원]","천원","1410.4","1175.37188","1689.6032","2170.85361","962.03827","1583.7",
"전규모(10인이상)","광 업(10-14)","퇴직금등비용[천원]","천원","270.2","213.3192","839.7006","1430.88367","309.66707","1006.4",
"전규모(10인이상)","광 업(10-14)","현물지급비용[천원]","천원","1.5","1.35959","1.15456","1.32187","1.08744","1",
"전규모(10인이상)","광 업(10-14)","법정복리비[천원]","천원","965.6","799.80838","708.7932","601.98732","522.9655","405",
"전규모(10인이상)","광 업(10-14)","법정외복리비[천원]","천원","162.6","151.66076","132.5281","126.07834","123.56995","160.2",
"전규모(10인이상)","광 업(10-14)","모집비[천원]","천원",".3",".70561",".12438",".10862",".18404",".2",
"전규모(10인이상)","광 업(10-14)","교육훈련비[천원]","천원","4.1","3.68282","3.34272","7.26353","2.05407","8.4",
"전규모(10인이상)","광 업(10-14)","기타노동비용[천원]","천원","6.1","4.83551","3.95962","3.21026","2.5102","2.5",
"전규모(10인이상)","석탄광업","노동비용총액[천원]","천원","3877.1","3415.12245","3825.48886","4361.68891","2651.21574","3463.2",
"전규모(10인이상)","석탄광업","현금급여총계[천원]","천원","2383.1","2140.41521","1877.9515","1820.59622","1587.098","1632.8",
"전규모(10인이상)","석탄광업","정액및초과[천원]","천원","1754.7","1601.80165","1414.57689","1312.61968","1302.43491","1214.8",
"전규모(10인이상)","석탄광업","상여금등특별급여[천원]","천원","628.4","538.61357","463.37461","507.97654","284.66309","418",
"전규모(10인이상)","석탄광업","현금급여외 노동비용(계)[천원]","천원","1494","1274.70724","1947.53736","2541.09269","1064.11774","1830.4",
"전규모(10인이상)","석탄광업","퇴직금등비용[천원]","천원","216.6","212.92847","1013.73754","1725.30784","336.17776","1173.7",
"전규모(10인이상)","석탄광업","현물지급비용[천원]","천원","1.7","1.51952","1.4339","1.55306","1.29883","1.2",
"전규모(10인이상)","석탄광업","법정복리비[천원]","천원","1115.4","904.74896","815.2005","683.11941","596.27434","465.3",
"전규모(10인이상)","석탄광업","법정외복리비[천원]","천원","151.6","147.31094","110.8821","120.11873","126.24515","177.6",
"전규모(10인이상)","석탄광업","모집비[천원]","천원",".3",".76036",".06986",".11442",".18081",".2",
"전규모(10인이상)","석탄광업","교육훈련비[천원]","천원","4.3","3.88797","2.4046","8.08028","2.10695","10.3",
"전규모(10인이상)","석탄광업","기타노동비용[천원]","천원","4.2","3.55102","3.80886","2.79893","1.83391","2.1",
"전규모(10인이상)","금속 광업","노동비용총액[천원]","천원","2678.8","2595.03349","2262.07198","2170.05809","1722.55717","1602.9",
"전규모(10인이상)","금속 광업","현금급여총계[천원]","천원","2025.2","2076.58917","1818.12666","1773.32614","1178.1599","1135.6",
