"규모별","산업별","항목","단위","2007 년","2006 년","2005 년","2004 년",
"전규모(10인이상)","전산업","노동비용총액[천원]","천원","3642.5","3392.8","3221.1","3057.5",
"전규모(10인이상)","전산업","현금급여총계[천원]","천원","2889.1","2686.2","2569.3","2449.5",
"전규모(10인이상)","전산업","정액및초과[천원]","천원","2231.3","2119.63454","1989.1","1868.1",
"전규모(10인이상)","전산업","상여금등특별급여[천원]","천원","657.8","566.61007","580.2","581.4",
"전규모(10인이상)","전산업","현금급여외 노동비용(계)[천원]","천원","753.4","706.5","651.8","607.9",
"전규모(10인이상)","전산업","퇴직금등비용[천원]","천원","241.6","229.8","223.8","212.1",
"전규모(10인이상)","전산업","현물지급비용[천원]","천원","3.3","3.3","3.4","4.6",
"전규모(10인이상)","전산업","법정복리비[천원]","천원","243.6","228.6","208.2","191.6",
"전규모(10인이상)","전산업","법정외복리비[천원]","천원","224.4","208","177.7","161.5",
"전규모(10인이상)","전산업","채용관련비용(모집비)[천원]","천원","3","2.9","3.8","4.8",
"전규모(10인이상)","전산업","교육훈련비[천원]","천원","29.5","26.5","26.9","24.3",
"전규모(10인이상)","전산업","기타노동비용[천원]","천원","8","7.4","8","9.1",
"전규모(10인이상)","광업 및 제조업 (10-37)(CD)","노동비용총액[천원]","천원","3811.9","3609.8","3356.9","3237.5",
"전규모(10인이상)","광업 및 제조업 (10-37)(CD)","현금급여총계[천원]","천원","2977.2","2804.9","2632.4","2563.6",
"전규모(10인이상)","광업 및 제조업 (10-37)(CD)","정액및초과[천원]","천원","2235.1","2129.39704","1975.4","1867.2",
"전규모(10인이상)","광업 및 제조업 (10-37)(CD)","상여금등특별급여[천원]","천원","742.1","675.45605","657","696.5",
"전규모(10인이상)","광업 및 제조업 (10-37)(CD)","현금급여외 노동비용(계)[천원]","천원","834.7","804.9","724.5","673.8",
"전규모(10인이상)","광업 및 제조업 (10-37)(CD)","퇴직금등비용[천원]","천원","269.8","263","256.5","247.6",
"전규모(10인이상)","광업 및 제조업 (10-37)(CD)","현물지급비용[천원]","천원","4.7","4.8","4.6","3.9",
"전규모(10인이상)","광업 및 제조업 (10-37)(CD)","법정복리비[천원]","천원","251.7","242.1","218.5","200",
"전규모(10인이상)","광업 및 제조업 (10-37)(CD)","법정외복리비[천원]","천원","264","252.6","204","184",
"전규모(10인이상)","광업 및 제조업 (10-37)(CD)","채용관련비용(모집비)[천원]","천원","2.9","3.3","4.5","3.5",
"전규모(10인이상)","광업 및 제조업 (10-37)(CD)","교육훈련비[천원]","천원","32.2","30.1","27.5","24",
"전규모(10인이상)","광업 및 제조업 (10-37)(CD)","기타노동비용[천원]","천원","9.3","9","8.9","10.9",
"전규모(10인이상)","광 업(10-12)","노동비용총액[천원]","천원","3748.1","3506.1","3304.7","3069.6",
"전규모(10인이상)","광 업(10-12)","현금급여총계[천원]","천원","2729.8","2561.8","2445.6","2268.5",
"전규모(10인이상)","광 업(10-12)","정액및초과[천원]","천원","2238.1","2104.50994","1971.7","1851.6",
"전규모(10인이상)","광 업(10-12)","상여금등특별급여[천원]","천원","491.7","457.28669","474","417",
"전규모(10인이상)","광 업(10-12)","현금급여외 노동비용(계)[천원]","천원","1018.3","944.3","859.1","801",
"전규모(10인이상)","광 업(10-12)","퇴직금등비용[천원]","천원","183.1","150.6","166.1","179.9",
"전규모(10인이상)","광 업(10-12)","현물지급비용[천원]","천원","1.2","3.2","3.2","3.8",
"전규모(10인이상)","광 업(10-12)","법정복리비[천원]","천원","589.6","547.2","474.8","441.7",
"전규모(10인이상)","광 업(10-12)","법정외복리비[천원]","천원","229","226.9","197.7","159.2",
"전규모(10인이상)","광 업(10-12)","채용관련비용(모집비)[천원]","천원",".1",".5",".6","1.4",
"전규모(10인이상)","광 업(10-12)","교육훈련비[천원]","천원","1.8","2","1.9","1.6",
"전규모(10인이상)","광 업(10-12)","기타노동비용[천원]","천원","13.5","14","14.7","13.4",
"전규모(10인이상)","석탄, 원유 및 우라늄광업(10)","노동비용총액[천원]","천원","4793","4471","4428.7","4029.1",
"전규모(10인이상)","석탄, 원유 및 우라늄광업(10)","현금급여총계[천원]","천원","3222.8","2912.5","2810.5","2535.5",
"전규모(10인이상)","석탄, 원유 및 우라늄광업(10)","정액및초과[천원]","천원","2330.5","2119.6555","2016.4","1798.6",
"전규모(10인이상)","석탄, 원유 및 우라늄광업(10)","상여금등특별급여[천원]","천원","892.3","792.80521","794.1","736.9",
"전규모(10인이상)","석탄, 원유 및 우라늄광업(10)","현금급여외 노동비용(계)[천원]","천원","1570.1","1558.5","1618.2","1493.6",
"전규모(10인이상)","석탄, 원유 및 우라늄광업(10)","퇴직금등비용[천원]","천원","114.9","179.9","222.1","281.4",
"전규모(10인이상)","석탄, 원유 및 우라늄광업(10)","현물지급비용[천원]","천원","0","2.5","7.2","8.6",
"전규모(10인이상)","석탄, 원유 및 우라늄광업(10)","법정복리비[천원]","천원","1264","1112.4","1095.8","992.6",
"전규모(10인이상)","석탄, 원유 및 우라늄광업(10)","법정외복리비[천원]","천원","183.2","241.6","245","167.9",
"전규모(10인이상)","석탄, 원유 및 우라늄광업(10)","채용관련비용(모집비)[천원]","천원",".1","0","0",".5",
"전규모(10인이상)","석탄, 원유 및 우라늄광업(10)","교육훈련비[천원]","천원","1.6","2.2","4.1","1.6",
"전규모(10인이상)","석탄, 원유 및 우라늄광업(10)","기타노동비용[천원]","천원","6.5","19.9","44","40.9",
"전규모(10인이상)","금속광업(11)","노동비용총액[천원]","천원","3401.8","2938.8","2435.1","2347",
"전규모(10인이상)","금속광업(11)","현금급여총계[천원]","천원","2439.5","2261","1779.2","1709.8",
"전규모(10인이상)","금속광업(11)","정액및초과[천원]","천원","2403.7","2119.98335","1680","1569.4",
"전규모(10인이상)","금속광업(11)","상여금등특별급여[천원]","천원","35.8","141.05393","99.2","140.4",
"전규모(10인이상)","금속광업(11)","현금급여외 노동비용(계)[천원]","천원","962.3","677.8","655.9","637.2",
"전규모(10인이상)","금속광업(11)","퇴직금등비용[천원]","천원","300.1","112.1","139.9","105.9",
"전규모(10인이상)","금속광업(11)","현물지급비용[천원]","천원","1.8","0","0","0",
"전규모(10인이상)","금속광업(11)","법정복리비[천원]","천원","437.6","448.3","371.1","374.7",
"전규모(10인이상)","금속광업(11)","법정외복리비[천원]","천원","219.9","114.8","139.6","156.1",
"전규모(10인이상)","금속광업(11)","채용관련비용(모집비)[천원]","천원","0","0","0",".1",
